fund_symbol,inception_date,fund_net_annual_expense_ratio,fund_yield,fund_return_3years,fund_r_squared_3years,fund_standard_deviation_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,rating,risk_rating,return_rating,investment_type,size_type,median_market_cap,net_asset_value,fund_return_ytd
FKDNX,1968-01-01,0.86,0.0,24.02,82.22,20.28,1.09,21.76,11.87,1.03,1.98,5.0,5.0,5.0,Growth,Large,91462.33,18450000000.0,34.73
FKEMX,2008-05-08,0.8,1.6,9.98,86.82,18.38,0.52,7.96,10.1,1.06,0.93,5.0,2.0,5.0,Growth,Large,81958.43,5750000000.0,15.27
FKFSX,2018-09-09,0.89,2.6,2.71,49.61,2.1,0.54,2.61,-0.36,0.43,0.23,2.0,1.0,2.0,Value,Large,0.0,5300000000.0,3.01
FKGLX,2017-06-05,0.5,1.54,6.4,98.37,15.96,0.37,3.2,-0.54,1.5,0.62,4.0,5.0,4.0,Blend,Large,51112.74,2200000000.0,0.15
FKGRX,1948-03-31,0.84,0.34,14.31,97.15,18.29,0.74,12.59,3.45,1.01,1.26,3.0,2.0,3.0,Growth,Large,107616.04,18000000000.0,13.19
FKICX,2017-05-24,0.6,0.55,3.62,84.61,24.76,0.21,1.59,-7.49,1.28,0.56,4.0,4.0,4.0,Growth,Small,1860.06,75830000.0,-6.14
FKIDX,2017-05-24,0.6,1.26,5.04,94.16,15.85,0.29,3.64,5.02,0.95,0.52,3.0,3.0,3.0,Growth,Large,51781.83,3100000000.0,3.28
FKIFX,2009-10-01,0.12,1.71,5.61,95.91,6.34,0.64,6.81,1.55,0.59,0.47,4.0,3.0,4.0,Blend,Large,67453.77,791480000.0,3.7
FKINX,1948-08-30,0.62,5.8,0.69,89.35,10.94,-0.03,-0.91,-4.49,0.98,0.11,2.0,5.0,3.0,Value,Large,106440.8,62500000000.0,-7.64
FKIQX,2018-09-09,0.72,5.71,0.43,90.88,10.87,-0.05,-1.18,-4.76,0.98,0.09,2.0,5.0,2.0,Value,Large,106440.8,62500000000.0,-7.77
FKISX,2018-02-28,1.53,1.54,2.89,94.61,5.23,0.27,1.02,-1.78,1.27,0.25,2.0,3.0,2.0,Blend,Medium,0.0,4890000000.0,1.0
FKITX,1992-09-20,0.56,2.28,2.61,97.26,3.04,0.35,1.37,-0.84,0.75,0.22,3.0,2.0,3.0,Value,Large,0.0,3620000000.0,2.5
FKKSX,2005-11-07,1.37,0.06,20.25,77.56,21.59,0.89,17.53,8.7,1.06,1.74,4.0,3.0,4.0,Growth,Medium,3755.94,7320000000.0,14.98
FKLAX,1987-08-31,0.71,2.69,3.52,90.8,3.43,0.58,2.38,-0.1,0.81,0.29,4.0,3.0,4.0,Value,Medium,0.0,380360000.0,2.15
FKLCX,2015-09-27,3.07,1.58,2.15,3.09,6.99,0.11,1.53,-0.45,0.36,0.2,3.0,3.0,3.0,Value,Medium,4750.94,93560000.0,0.68
FKLQX,2015-09-27,1.99,2.6,3.19,3.01,6.93,0.26,4.49,0.59,0.36,0.28,5.0,3.0,5.0,Value,Medium,4750.94,93560000.0,1.64
FKLRX,2015-09-27,2.57,2.19,2.65,3.11,6.95,0.19,2.93,0.04,0.36,0.24,4.0,3.0,4.0,Value,Medium,4750.94,93560000.0,1.17
FKLSX,2015-09-27,2.32,2.35,2.99,3.06,7.05,0.23,3.84,0.38,0.37,0.27,4.0,3.0,4.0,Value,Medium,4750.94,93560000.0,1.35
FKLZX,2015-09-27,2.07,2.56,3.16,3.1,6.99,0.26,4.32,0.54,0.36,0.28,5.0,3.0,5.0,Value,Medium,4750.94,93560000.0,1.54
FKMAX,2016-07-10,2.27,0.09,-0.48,13.77,3.37,-0.6,-11.46,-2.97,0.18,-0.04,2.0,2.0,2.0,Blend,Large,0.0,24460000.0,6.17
FKMCX,2008-05-08,0.82,1.0,4.11,88.0,19.67,0.23,2.45,-5.81,1.03,0.5,4.0,2.0,4.0,Blend,Medium,7760.79,6000000000.0,-6.69
FKMDX,2016-07-10,3.02,0.0,-1.29,11.76,3.35,-0.86,-17.39,-3.71,0.16,-0.1,1.0,2.0,1.0,Blend,Large,0.0,24460000.0,5.49
FKMQX,2016-07-10,2.02,0.33,-0.29,12.29,3.34,-0.55,-11.08,-2.72,0.17,-0.02,2.0,2.0,2.0,Blend,Large,0.0,24460000.0,6.39
FKMRX,2016-07-10,2.52,0.08,-0.52,13.16,3.34,-0.62,-12.01,-2.98,0.17,-0.04,2.0,2.0,2.0,Blend,Large,0.0,24460000.0,6.18
FKMZX,2016-07-10,2.02,0.32,-0.26,13.39,3.37,-0.54,-10.34,-2.73,0.18,-0.02,2.0,2.0,2.0,Blend,Large,0.0,24460000.0,6.38
FKNCX,2003-06-30,1.24,1.79,1.84,91.77,3.93,0.08,0.27,-2.03,0.94,0.16,2.0,3.0,2.0,Blend,Large,0.0,905870000.0,0.53
FKNIX,1992-09-20,0.69,2.34,2.41,91.71,3.94,0.23,0.88,-1.48,0.94,0.21,3.0,4.0,3.0,Blend,Large,0.0,905870000.0,1.07
FKNQX,2018-09-09,0.84,2.19,2.28,92.14,3.96,0.19,0.74,-1.62,0.94,0.2,3.0,4.0,3.0,Blend,Large,0.0,905870000.0,0.95
FKNRX,2017-07-31,0.53,2.49,2.55,91.7,3.93,0.26,1.03,-1.33,0.94,0.22,3.0,3.0,3.0,Blend,Large,0.0,905870000.0,1.12
FKQTX,2018-09-09,0.71,2.13,2.45,96.67,3.06,0.3,1.15,-0.99,0.75,0.21,2.0,2.0,2.0,Value,Large,0.0,3620000000.0,2.37
FKRCX,1969-05-18,0.98,0.0,19.01,36.56,36.31,0.6,13.46,15.1,1.29,1.95,3.0,3.0,3.0,Blend,Medium,2443.89,1240000000.0,29.31
FKSAX,1999-08-11,0.63,4.43,2.05,8.75,7.09,0.1,0.75,-1.42,0.62,0.19,3.0,3.0,3.0,Blend,Small,0.0,3980000000.0,-0.41
FKSCX,2002-10-14,1.16,0.0,-12.99,85.27,21.92,-0.58,-11.72,-12.26,1.24,-0.94,1.0,5.0,1.0,Blend,Small,1703.07,89170000.0,-27.59
FKSRX,2002-01-01,1.13,3.94,1.55,8.65,7.1,0.03,-0.06,-1.9,0.62,0.15,2.0,3.0,2.0,Blend,Small,0.0,3980000000.0,-0.82
FKSTX,1992-01-08,0.82,2.76,3.01,88.24,4.38,0.34,1.38,-1.11,1.03,0.26,4.0,5.0,4.0,Blend,Medium,0.0,286950000.0,1.51
FKTDX,2017-07-31,0.53,2.38,3.74,94.72,3.8,0.58,2.33,-0.15,0.92,0.31,5.0,3.0,4.0,Blend,Large,0.0,1070000000.0,3.35
FKTFX,1977-01-30,0.61,2.98,4.32,97.2,5.35,0.53,2.07,-0.52,1.32,0.37,4.0,4.0,4.0,Blend,Medium,0.0,16670000000.0,2.5
FKTIX,1983-10-06,0.62,2.97,3.53,97.68,4.12,0.48,1.91,-0.58,1.02,0.3,3.0,2.0,3.0,Blend,Medium,0.0,10870000000.0,2.58
FKTJX,2017-07-31,0.5,2.84,3.29,96.52,4.47,0.4,1.56,-0.99,1.09,0.28,3.0,2.0,3.0,Blend,Large,0.0,3740000000.0,1.65
FKTLX,2017-07-31,0.55,2.74,3.89,97.56,3.78,0.62,2.47,-0.03,0.93,0.32,5.0,3.0,5.0,Blend,Large,0.0,728770000.0,2.9
FKTMX,2017-07-31,0.58,2.67,3.48,96.6,4.06,0.48,1.91,-0.57,0.99,0.29,4.0,3.0,4.0,Blend,Large,0.0,453660000.0,2.65
FKTNX,2017-07-31,0.53,2.68,4.33,96.67,3.53,0.78,3.18,0.56,0.86,0.36,5.0,2.0,5.0,Blend,Large,0.0,959250000.0,3.64
FKTOX,2017-07-31,0.52,2.76,3.92,94.99,3.32,0.71,2.9,0.3,0.8,0.33,4.0,2.0,4.0,Blend,Large,0.0,1640000000.0,3.49
FKTQX,2017-07-31,0.47,3.11,4.49,97.09,5.37,0.56,2.2,-0.36,1.32,0.38,5.0,3.0,5.0,Blend,Medium,0.0,16670000000.0,2.62
FKTRX,2017-07-31,0.68,2.78,3.21,95.0,3.22,0.51,2.08,-0.33,0.78,0.27,3.0,1.0,3.0,Value,Medium,0.0,141720000.0,2.14
FKTZX,2016-09-14,0.72,2.75,3.14,96.1,3.24,0.49,1.96,-0.42,0.79,0.26,3.0,2.0,3.0,Value,Medium,0.0,141720000.0,2.1
FKUQX,2018-09-09,0.83,2.39,6.35,25.01,14.74,0.39,11.0,3.41,0.43,0.61,3.0,4.0,3.0,Value,Large,25843.46,6310000000.0,-4.13
FKUSX,1970-05-28,0.79,2.69,2.91,48.0,2.09,0.64,3.12,-0.14,0.42,0.24,2.0,1.0,2.0,Value,Large,0.0,5300000000.0,3.25
FKUTX,1948-09-29,0.73,2.49,6.47,25.12,14.73,0.39,11.27,3.52,0.43,0.61,4.0,4.0,4.0,Value,Large,25843.46,6310000000.0,-4.05
FKYRX,1997-02-06,0.73,2.75,3.79,97.52,4.16,0.54,2.15,-0.34,1.02,0.32,5.0,3.0,5.0,Blend,Medium,0.0,353460000.0,2.41
FKYTX,1987-05-03,0.93,2.55,3.57,97.14,4.13,0.49,1.95,-0.53,1.01,0.3,4.0,3.0,4.0,Blend,Medium,0.0,353460000.0,2.25
FLAAX,1988-10-02,0.7,3.22,3.98,93.42,5.73,0.44,1.73,-0.98,1.38,0.34,5.0,4.0,5.0,Growth,Medium,0.0,6720000000.0,1.73
FLACX,2012-10-22,1.75,0.0,8.55,97.95,19.18,0.44,6.55,-2.11,1.06,0.84,2.0,3.0,2.0,Blend,Large,78675.87,9300000000.0,4.83
FLADX,2013-06-30,0.7,1.39,5.42,98.07,14.22,0.33,2.87,-1.03,1.34,0.52,2.0,2.0,2.0,Blend,Large,76304.05,52490000.0,1.5
FLAIX,1995-04-30,1.26,2.12,2.97,90.24,3.42,0.42,1.71,-0.62,0.81,0.25,2.0,2.0,2.0,Value,Medium,0.0,380360000.0,1.75
FLAPX,2017-03-08,0.0,1.63,6.85,91.72,20.7,0.35,4.74,-3.81,1.11,0.73,4.0,3.0,4.0,Blend,Medium,14218.03,119160000.0,-1.56
FLAQX,2017-07-31,0.58,2.83,3.65,90.15,3.41,0.62,2.57,0.05,0.8,0.3,4.0,2.0,4.0,Value,Medium,0.0,380360000.0,2.26
FLARX,2007-02-13,1.13,3.81,1.54,0.84,7.82,0.03,-0.22,-0.46,0.21,0.15,3.0,3.0,3.0,Value,Small,0.0,297640000.0,-2.36
FLATX,1993-04-18,1.05,3.93,-9.42,60.83,33.79,-0.15,-6.8,-4.31,1.62,-0.29,2.0,3.0,3.0,Blend,Medium,2470.5,307950000.0,-40.93
FLBAX,2005-12-19,0.07,3.11,-0.19,86.53,9.25,-0.08,-0.38,-1.04,3.13,0.02,3.0,3.0,3.0,Growth,Large,0.0,1920000000.0,-8.41
FLBDX,2011-06-29,1.48,1.77,3.32,75.72,3.31,0.53,2.04,-1.17,0.85,0.28,2.0,2.0,2.0,Growth,Medium,10396.69,66820000.0,4.92
FLBIX,2005-12-19,0.17,3.03,-0.28,86.49,9.28,-0.09,-0.4,-1.12,3.14,0.01,3.0,3.0,3.0,Growth,Large,0.0,1920000000.0,-8.46
FLCCX,1997-11-02,1.67,1.36,2.79,95.03,19.27,0.16,1.15,-7.41,1.05,0.39,2.0,5.0,2.0,Value,Large,91885.0,749680000.0,-11.85
FLCEX,2007-04-18,0.39,1.51,9.86,99.5,17.37,0.54,8.53,-0.31,0.97,0.91,4.0,2.0,4.0,Blend,Large,131461.48,1010000000.0,2.37
FLCGX,1985-03-19,1.53,1.05,-4.72,82.3,27.3,-0.09,-4.55,-16.24,1.39,-0.07,2.0,5.0,2.0,Value,Medium,4573.75,36380000.0,-20.92
FLCKX,2008-05-08,0.67,0.3,5.84,90.05,24.89,0.29,3.21,-5.93,1.32,0.73,3.0,5.0,4.0,Growth,Large,40519.88,2020000000.0,1.33
FLCLX,2017-03-07,0.0,0.46,24.04,88.44,21.6,1.03,19.7,11.06,1.14,2.0,5.0,5.0,5.0,Growth,Large,161322.69,73630000.0,36.55
FLCNX,2017-05-24,0.45,0.28,15.46,92.31,19.05,0.77,13.52,4.44,1.03,1.35,3.0,3.0,3.0,Growth,Large,247293.88,15420000000.0,17.58
FLCOX,2016-06-06,0.03,2.58,1.94,93.42,18.34,0.11,0.36,-7.82,0.99,0.3,3.0,3.0,3.0,Value,Large,56219.67,2240000000.0,-12.7
FLCPX,2016-02-01,0.02,2.13,10.37,100.0,17.88,0.55,8.78,-0.05,1.0,0.96,4.0,3.0,4.0,Blend,Large,156619.47,14670000000.0,2.63
FLCSX,1995-06-21,0.47,2.14,3.87,94.94,19.1,0.21,2.19,-6.3,1.04,0.47,2.0,5.0,2.0,Value,Large,93112.41,2220000000.0,-10.89
FLDAX,2004-11-16,0.71,2.88,2.02,6.82,4.82,0.11,1.17,-0.74,0.37,0.18,2.0,5.0,2.0,Value,Small,269.55,2670000000.0,1.18
FLDCX,2012-09-30,1.11,2.55,1.64,6.82,4.84,0.03,0.13,-1.12,0.38,0.15,1.0,5.0,1.0,Value,Small,269.55,2670000000.0,0.9
FLDFX,2006-01-30,1.57,0.64,1.76,87.16,9.79,0.07,0.2,-3.08,0.87,0.19,4.0,2.0,4.0,Blend,Large,88057.86,360760000.0,-5.18
FLDGX,2000-02-28,1.47,0.47,5.33,96.56,16.71,0.3,2.4,-1.69,1.56,0.55,4.0,3.0,4.0,Blend,Large,79981.15,172860000.0,-0.01
FLDKX,2014-05-15,0.74,2.18,2.44,51.22,1.9,0.45,2.12,-0.53,0.4,0.2,2.0,3.0,2.0,Value,Medium,0.0,174260000.0,3.31
FLDLX,2014-05-15,0.51,2.41,2.75,50.22,1.89,0.61,2.92,-0.21,0.4,0.23,2.0,3.0,2.0,Value,Medium,0.0,174260000.0,3.5
FLDMX,2014-05-15,0.36,2.56,2.87,51.4,1.81,0.7,3.34,-0.04,0.38,0.24,3.0,2.0,3.0,Value,Medium,0.0,174260000.0,3.52
FLDZX,2008-05-14,0.46,3.09,2.3,6.96,4.78,0.17,1.91,-0.47,0.37,0.2,3.0,5.0,3.0,Value,Small,269.55,2670000000.0,1.46
FLEIX,2018-12-06,1.07,2.21,3.08,19.94,5.31,0.3,2.12,-0.81,0.7,0.27,1.0,4.0,1.0,Value,Large,33531.26,189790000.0,0.87
FLEKX,2018-06-21,0.91,2.78,-0.26,91.33,14.88,-0.05,-1.37,-6.51,1.35,0.07,3.0,4.0,3.0,Blend,Large,18761.07,336440000.0,-8.29
FLERX,2013-06-30,0.4,1.93,4.83,98.14,11.93,0.32,2.89,-0.97,1.12,0.45,2.0,3.0,2.0,Blend,Large,77691.11,62220000.0,0.76
FLFAX,2010-09-27,1.36,3.44,-9.71,60.8,33.79,-0.16,-6.98,-4.62,1.62,-0.31,2.0,3.0,3.0,Blend,Medium,2470.5,307950000.0,-41.1
FLFCX,2010-09-27,2.12,2.08,-10.38,60.82,33.78,-0.18,-7.4,-5.36,1.62,-0.38,2.0,3.0,2.0,Blend,Medium,2470.5,307950000.0,-41.44
FLFGX,2006-01-30,1.78,0.0,-1.19,85.4,12.72,-0.15,-2.49,-6.76,1.12,-0.03,2.0,4.0,3.0,Blend,Large,60365.63,39990000.0,-10.6
FLFIX,2010-09-27,1.01,4.16,-9.37,60.85,33.81,-0.15,-6.77,-4.24,1.62,-0.28,3.0,3.0,3.0,Blend,Medium,2470.5,307950000.0,-40.88
FLFTX,2010-09-27,1.64,3.01,-9.94,60.8,33.79,-0.17,-7.13,-4.88,1.62,-0.34,2.0,3.0,3.0,Blend,Medium,2470.5,307950000.0,-41.18
FLGEX,2007-04-18,0.39,0.68,16.21,94.51,18.63,0.82,14.4,5.11,1.02,1.4,4.0,2.0,4.0,Growth,Large,211669.84,1280000000.0,18.57
FLGIX,2013-09-05,1.24,2.13,10.24,46.08,10.02,0.86,14.27,2.76,0.6,0.86,3.0,4.0,3.0,Growth,Large,18337.9,49870000.0,23.42
FLGZX,2013-09-05,0.99,2.37,10.5,45.83,10.02,0.88,14.74,3.01,0.6,0.88,4.0,4.0,4.0,Growth,Large,18337.9,49870000.0,23.64
FLICX,1998-06-03,1.42,0.28,9.34,84.69,16.5,0.53,8.66,4.03,0.9,0.86,3.0,3.0,3.0,Blend,Large,181152.27,96090000.0,11.51
FLIFX,2009-10-01,0.12,1.67,5.91,97.96,7.82,0.57,5.89,1.32,0.74,0.51,4.0,3.0,3.0,Blend,Large,67371.5,1720000000.0,3.29
